date,alpha_id,id,name,total_elec_gen_emp,total_ff_elec_gen_emp,total_non_ff_elec_gen_emp,per_value
2019,DE,10,Delaware,1237,378,859,69
2019,FL,12,Florida,54283,19468,34815,64
2019,GA,13,Georgia,15690,3064,12626,80
2019,HI,15,Hawaii,6639,1858,4782,72
2019,ID,16,Idaho,2081,118,1964,94
2019,IL,17,Illinois,31018,7376,23643,76
2019,IN,18,Indiana,17536,6447,11089,63
2019,IA,19,Iowa,9331,2219,7112,76
2019,KS,20,Kansas,16203,9254,6950,43
2019,KY,21,Kentucky,5043,2509,2534,50
2019,LA,22,Louisiana,8997,3077,5920,66
2019,ME,23,Maine,2928,319,2609,89
2019,MD,24,Maryland,13598,3946,9652,71
2019,MA,25,Massachusetts,37115,6659,30456,82
2019,MI,26,Michigan,28114,7135,20979,75
2019,MN,27,Minnesota,13021,2254,10767,83
2019,MS,28,Mississippi,4796,2544,2252,47
2019,MO,29,Missouri,9796,3085,6710,69
2019,MT,30,Montana,1376,480,896,65
2019,NE,31,Nebraska,6364,1079,5286,83
2019,NV,32,Nevada,13392,1882,11510,86
2019,NH,33,New Hampshire,5816,1623,4193,72
2019,NJ,34,New Jersey,21995,3389,18606,85
2019,NM,35,New Mexico,5321,573,4748,89
2019,NY,36,New York,47772,7302,40471,85
2019,NC,37,North Carolina,20120,5241,14879,74
2019,ND,38,North Dakota,3356,1122,2233,67
2019,OH,39,Ohio,28519,15612,12908,45
2019,OK,40,Oklahoma,7100,3481,3619,51
2019,OR,41,Oregon,10053,695,9358,93
2019,PA,42,Pennsylvania,20308,5103,15205,75
2019,RI,44,Rhode Island,2495,255,2240,90
2019,SC,45,South Carolina,28115,6198,21918,78
2019,SD,46,South Dakota,3007,270,2736,91
2019,TN,47,Tennessee,12143,992,11151,92
2019,TX,48,Texas,58476,13666,44811,77
2019,UT,49,Utah,11853,3304,8549,72
2019,VT,50,Vermont,2821,45,2776,98
2019,VA,51,Virginia,15336,2820,12516,82
2019,WA,53,Washington,14958,820,14137,95
2019,WV,54,West Virginia,3707,2368,1339,36
2019,WI,55,Wisconsin,10626,3342,7284,69
2019,WY,56,Wyoming,1526,1164,362,24
