,quote_date,shop_code,item_id_raw,region,price,indicator_box,item_id,description
31340290,1994-09-01,81.0,510201,2.0,29.99,,510201,WOMEN'S SUIT
31340291,1993-02-01,46.0,510201,2.0,70.0,,510201,WOMEN'S SUIT
31340293,1991-05-01,45.0,510201,2.0,28.9,,510201,WOMEN'S SUIT
31340303,1996-06-01,125.0,510201,2.0,75.949997,,510201,WOMEN'S SUIT
31340304,1992-12-01,106.0,510201,2.0,35.0,,510201,WOMEN'S SUIT
31340308,1994-07-01,6.0,510201,2.0,19.99,S,510201,WOMEN'S SUIT
31340320,1996-08-01,19.0,510201,2.0,53.959999,C,510201,WOMEN'S SUIT
31340347,1989-08-01,75.0,510201,2.0,55.990002,,510201,WOMEN'S SUIT
31340349,1991-07-01,47.0,510201,2.0,79.989998,,510201,WOMEN'S SUIT
31340376,1991-03-01,129.0,510201,2.0,34.990002,,510201,WOMEN'S SUIT
31340404,1993-01-01,111.0,510201,2.0,56.98,,510201,WOMEN'S SUIT
31340414,1996-02-01,70.0,510201,2.0,110.0,,510201,WOMEN'S SUIT
31340417,1991-05-01,132.0,510201,2.0,49.990002,,510201,WOMEN'S SUIT
31340424,1996-04-01,93.0,510201,2.0,88.980003,,510201,WOMEN'S SUIT
31340447,1993-10-01,19.0,510201,2.0,32.98,S,510201,WOMEN'S SUIT
31340477,1996-02-01,136.0,510201,2.0,29.99,,510201,WOMEN'S SUIT
31340488,1996-10-01,217.0,510201,2.0,30.0,,510201,WOMEN'S SUIT
31340490,1996-07-01,247.0,510201,2.0,45.0,,510201,WOMEN'S SUIT
31340498,1996-06-01,1.0,510201,2.0,128.95,,510201,WOMEN'S SUIT
31340515,1993-01-01,85.0,510201,2.0,39.990002,,510201,WOMEN'S SUIT
31340524,1996-06-01,229.0,510201,2.0,129.98,,510201,WOMEN'S SUIT
31340528,1992-10-01,46.0,510201,2.0,91.0,,510201,WOMEN'S SUIT
31340540,1996-05-01,248.0,510201,2.0,68.980003,C,510201,WOMEN'S SUIT
31340549,1995-12-01,111.0,510201,2.0,75.0,,510201,WOMEN'S SUIT
31340551,1992-11-01,36.0,510201,2.0,49.990002,,510201,WOMEN'S SUIT
31340559,1990-08-01,34.0,510201,2.0,35.990002,,510201,WOMEN'S SUIT
31340565,1996-09-01,96.0,510201,2.0,264.0,,510201,WOMEN'S SUIT
31340591,1992-04-01,46.0,510201,2.0,100.0,,510201,WOMEN'S SUIT
31340597,1996-08-01,77.0,510201,2.0,99.980003,C,510201,WOMEN'S SUIT
31340601,1994-10-01,35.0,510201,2.0,38.98,,510201,WOMEN'S SUIT
31340621,1995-11-01,152.0,510201,2.0,100.0,,510201,WOMEN'S SUIT
31340629,1996-06-01,244.0,510201,2.0,90.0,,510201,WOMEN'S SUIT
31340635,1994-03-01,174.0,510201,2.0,26.5,,510201,WOMEN'S SUIT
31340641,1992-05-01,34.0,510201,2.0,12.5,,510201,WOMEN'S SUIT
31340644,1996-11-01,70.0,510201,2.0,110.0,,510201,WOMEN'S SUIT
31340652,1993-11-01,81.0,510201,2.0,44.98,,510201,WOMEN'S SUIT
31340667,1996-05-01,242.0,510201,2.0,61.990002,C,510201,WOMEN'S SUIT
31340690,1996-07-01,283.0,510201,2.0,49.98,C,510201,WOMEN'S SUIT
31340698,1989-10-01,10.0,510201,2.0,49.990002,,510201,WOMEN'S SUIT
31340700,1996-11-01,111.0,510201,2.0,80.0,C,510201,WOMEN'S SUIT
31340703,1996-05-01,132.0,510201,2.0,108.99,,510201,WOMEN'S SUIT
31340707,1993-07-01,35.0,510201,2.0,32.98,S,510201,WOMEN'S SUIT
31340722,1996-04-01,283.0,510201,2.0,31.98,S,510201,WOMEN'S SUIT
31340766,1996-12-01,1.0,510201,2.0,180.0,S,510201,WOMEN'S SUIT
31340775,1989-06-01,34.0,510201,2.0,55.990002,,510201,WOMEN'S SUIT
31340787,1995-09-01,188.0,510201,2.0,128.98,,510201,WOMEN'S SUIT
31340790,1995-03-01,117.0,510201,2.0,42.0,,510201,WOMEN'S SUIT
31340801,1996-10-01,248.0,510201,2.0,59.0,,510201,WOMEN'S SUIT
31340802,1994-07-01,128.0,510201,2.0,35.0,S,510201,WOMEN'S SUIT
31340806,1990-07-01,46.0,510201,2.0,85.0,,510201,WOMEN'S SUIT
